name,docket,claim
Dietz v. Bouldin,15-458,The Patent Trial and Appeal Board can interpret patent claims as broadly as reasonably possible when reviewing a patent challenge.
Dietz v. Bouldin,15-458,Courts cannot review the decision to start a process where third parties challenge patents.
Kirtsaeng v. John Wiley & Sons,15-375,Government agencies must clearly explain any changes to how they understand a law.
Kirtsaeng v. John Wiley & Sons,15-375,Courts cannot use a government agency's new understanding of a law if the agency didn't explain why it changed its mind.
Kirtsaeng v. John Wiley & Sons,15-375,"If a government agency changes how it understands a law after many years of using a different understanding, it must give a strong reason for the change."
Microsoft v. Baker,15-457,A person can be convicted of insider trading for trading on information received from a family member even if no money changed hands.
Microsoft v. Baker,15-457,"When insider information is shared between family members, the law assumes the person sharing it intended to benefit the recipient."
Microsoft v. Baker,15-457,A close family relationship is enough to prove that a person knew the information they traded on was obtained illegally.
Cuozzo Speed Technologies v. Lee,15-446,Federal bribery laws require that an official action must be a specific decision or action using government authority on a particular matter.
Cuozzo Speed Technologies v. Lee,15-446,"Simply setting up meetings, contacting other officials, or hosting events does not count as an official act under federal bribery laws."
Cuozzo Speed Technologies v. Lee,15-446,The existence of a pending matter before an official does not automatically make related actions official acts.
Cuozzo Speed Technologies v. Lee,15-446,Federal bribery laws must be narrowly interpreted to prevent officials from avoiding public communication due to fear of prosecution.
Encino Motorcars v. Navarro,15-415,"A prior state conviction cannot be used to increase a sentence under the Armed Career Criminal Act if the legal requirements of the state crime are broader than the federal crime it's compared to, even if the person's actions matched the federal standard."
Encino Motorcars v. Navarro,15-415,"When checking if a prior state conviction qualifies under the Armed Career Criminal Act, courts must only look at the legal elements of the state law, not the specific facts of what the person did."
Encino Motorcars v. Navarro,15-415,"Courts can only examine specific documents (like charging papers) to determine which part of a state law a person was convicted of if the law lists separate elements, not just different ways to commit the same crime."
Encino Motorcars v. Navarro,15-415,Using the modified categorical approach to look at facts not decided by a jury would violate a person's right to a jury trial under the Sixth Amendment.
Salman v. United States,15-628,State courts must follow the U.S. Supreme Court's rulings on federal law.
Salman v. United States,15-628,Courts can only award attorney fees to the winning side in a civil rights case if the losing party's lawsuit was baseless.
Salman v. United States,15-628,Government agencies are typically not liable for intentional misconduct by their employees under state law.
Salman v. United States,15-628,Government agencies can be held responsible for negligent actions by their employees under state law.
